"filename", "language", "YAML", "Properties", "Cabal", "Haskell", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/darick/NewsServer/src/Api/Methods/Delete/Tag.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 3, 36
"/home/darick/NewsServer/src/Api/Methods/Delete/User.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Edit.hs", "Haskell", 0, 0, 0, 7, 0, 0, 0, 2, 9
"/home/darick/NewsServer/src/Api/Methods/Edit/Author.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Edit/Category.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Edit/Draft.hs", "Haskell", 0, 0, 0, 50, 0, 0, 2, 4, 56
"/home/darick/NewsServer/src/Api/Methods/Edit/Tag.hs", "Haskell", 0, 0, 0, 40, 0, 0, 2, 4, 46
"/home/darick/NewsServer/src/Api/Methods/Errors.hs", "Haskell", 0, 0, 0, 36, 0, 0, 1, 19, 56
"/home/darick/NewsServer/src/Api/Methods/Get.hs", "Haskell", 0, 0, 0, 11, 0, 0, 0, 1, 12
"/home/darick/NewsServer/src/Api/Methods/Get/Author.hs", "Haskell", 0, 0, 0, 58, 0, 0, 3, 4, 65
"/home/darick/NewsServer/src/Api/Methods/Get/Category.hs", "Haskell", 0, 0, 0, 40, 0, 0, 3, 4, 47
"/home/darick/NewsServer/src/Api/Methods/Get/Comment.hs", "Haskell", 0, 0, 0, 38, 0, 0, 3, 4, 45
"/home/darick/NewsServer/src/Api/Methods/Get/Draft.hs", "Haskell", 0, 0, 0, 63, 0, 0, 3, 4, 70
"/home/darick/NewsServer/src/Api/Methods/Get/News.hs", "Haskell", 0, 0, 0, 86, 0, 0, 3, 4, 93
"/home/darick/NewsServer/src/Api/Methods/Get/Tag.hs", "Haskell", 0, 0, 0, 39, 0, 0, 3, 4, 46
"/home/darick/NewsServer/src/Api/Methods/Get/Token.hs", "Haskell", 0, 0, 0, 40, 0, 0, 3, 4, 47
"/home/darick/NewsServer/src/Api/Methods/Get/User.hs", "Haskell", 0, 0, 0, 43, 0, 0, 3, 4, 50
"/home/darick/NewsServer/src/Api/Methods/Post/Comment.hs", "Haskell", 0, 0, 0, 39, 0, 0, 2, 4, 45
"/home/darick/NewsServer/src/Api/Methods/Post/Draft.hs", "Haskell", 0, 0, 0, 37, 0, 0, 2, 5, 44
"/home/darick/NewsServer/src/Api/Types.hs", "Haskell", 0, 0, 0, 31, 0, 0, 0, 30, 61
"/home/darick/NewsServer/src/Api/Types/Author.hs", "Haskell", 0, 0, 0, 34, 0, 0, 1, 6, 41
"/home/darick/NewsServer/src/Api/Types/Category.hs", "Haskell", 0, 0, 0, 21, 0, 0, 1, 7, 29
"/home/darick/NewsServer/src/Api/Types/Comment.hs", "Haskell", 0, 0, 0, 29, 0, 0, 1, 5, 35
"/home/darick/NewsServer/src/Api/Types/News.hs", "Haskell", 0, 0, 0, 66, 0, 0, 1, 7, 74
"/home/darick/NewsServer/src/Api/Types/Response.hs", "Haskell", 0, 0, 0, 38, 0, 0, 1, 12, 51
"/home/darick/NewsServer/src/Api/Types/Tag.hs", "Haskell", 0, 0, 0, 18, 0, 0, 1, 7, 26
"/home/darick/NewsServer/src/Api/Types/User.hs", "Haskell", 0, 0, 0, 32, 0, 0, 1, 6, 39
"/home/darick/NewsServer/src/Config.hs", "Haskell", 0, 0, 0, 28, 0, 0, 1, 5, 34
